column,statistic,value
price,count,208147.0
price,mean,81.75799497470679
price,stddev,117.37798052236772
price,min,0.0
price,max,999.99
num_subscribers,count,207896.0
num_subscribers,mean,3102.085566485166
num_subscribers,stddev,15568.109303044592
num_subscribers,min,0.0
num_subscribers,max,1752364.0
avg_rating,count,208072.0
avg_rating,mean,9.601691341970524
avg_rating,stddev,1397.681782530688
avg_rating,min,0.0
avg_rating,max,626304.0
num_reviews,count,208143.0
num_reviews,mean,244.8148660235126
num_reviews,stddev,2438.2002767241406
num_reviews,min,0.0
num_reviews,max,436457.0
num_comments,count,208171.0
num_comments,mean,46.25040479394393
num_comments,stddev,521.2753925945113
num_comments,min,0.0
num_comments,max,172991.0
num_lectures,count,208185.0
num_lectures,mean,36.968581939104155
num_lectures,stddev,88.31341476433944
num_lectures,min,0.0
num_lectures,max,24886.0
content_length_min,count,208189.0
content_length_min,mean,266.0581837431382
content_length_min,stddev,462.1507617132677
content_length_min,min,0.0
content_length_min,max,36899.0
most_common_price,count,208149.0
most_common_price,mean,54.60619090170159
most_common_price,stddev,41.45293637116562
most_common_price,min,0.0
most_common_price,max,999.99
